activation,alpha,layers,neurons,val_mse_scaled,val_mse_unscaled
tanh,0.0001,2,40,0.44393961245410424,9.712388480598715
relu,0.0001,2,20,0.44976645686070527,9.444881684697307
tanh,0.0001,1,40,0.4517211157889809,9.37599346049023
relu,0.0001,17,40,0.4547584609450799,16.57436784824987
relu,0.0001,1,20,0.4609618282284952,10.09560825474485
tanh,0.0001,16,40,0.46365147603588586,13.746028733972135
relu,0.0001,15,40,0.46565729694959557,17.238090121021646
tanh,0.0001,2,20,0.46777127415309466,11.018858101661323
tanh,0.0001,15,20,0.4695072350835846,13.384556716370179
tanh,0.0001,1,20,0.470938476735206,10.753731396967682
tanh,0.0001,24,20,0.47603939937309625,16.44155157571166
relu,0.0001,9,20,0.47738103887781447,12.250132896377831
tanh,0.0001,23,40,0.4828049211742036,20.133143732180212
tanh,0.0001,21,20,0.48592504891503097,19.296681738559705
tanh,0.0001,19,40,0.4862021193326832,14.295531911765396
relu,0.0001,14,20,0.48874827406350463,13.320383254415995
relu,0.0001,16,40,0.49187792000928504,17.032456411475955
relu,0.0001,15,20,0.49273956031931176,18.505897656690696
relu,0.0001,12,20,0.49620896175405277,14.438279420525033
relu,0.0001,10,20,0.49734623740553174,11.375352558810295
tanh,0.0001,22,20,0.4974733637954076,13.634330594821488
relu,0.0001,19,20,0.4979071417996648,20.18809654232068
relu,0.0001,19,40,0.5048855602117274,17.474423425714825
tanh,0.0001,17,20,0.5062695262351625,13.96001246180355
tanh,0.0001,18,20,0.5109363545797325,18.585280681617334
relu,0.0001,14,40,0.513005187202744,16.338399143951396
tanh,0.0001,21,40,0.5137996046638602,20.41276855313087
tanh,0.0001,26,20,0.5154415123376345,19.174211301336925
tanh,0.0001,22,40,0.51643904101079,16.816011580366016
relu,0.0001,18,40,0.5324303636024049,17.8285630531755
logistic,0.0001,3,40,0.5357681297685416,12.423714832442094
tanh,0.0001,24,40,0.5364634967155781,15.541734345680158
logistic,0.0001,2,40,0.5423336881907457,13.123386326818316
relu,0.0001,12,40,0.5538974486242731,14.125394577204844
relu,0.0001,22,20,0.5656438489034283,27.32039596847027
relu,0.0001,16,20,0.5749245890457999,23.553320930195692
relu,0.0001,23,20,0.5799041324226969,26.88096633258429
relu,0.0001,20,40,0.580912643435475,27.505086470073692
relu,0.0001,21,20,0.5847559268361656,31.933701417954946
relu,0.0001,25,20,0.5861061440066535,24.50915198163068
relu,0.0001,17,20,0.5868991855157549,30.87149595009281
relu,0.0001,18,20,0.5912368279296251,31.58386358821955
relu,0.0001,26,20,0.5912486670608037,27.887329550477027
relu,0.0001,20,20,0.5935495014949357,33.463606968470124
relu,0.0001,24,40,0.5950179386074332,33.602404228597266
relu,0.0001,21,40,0.5957081715196447,26.875437994639945
relu,0.0001,25,40,0.598126838768928,27.233639445217875
relu,0.0001,26,40,0.6023064255663462,27.99128706002582
relu,0.0001,29,40,0.6034314788210791,31.662927362647928
logistic,0.0001,1,40,0.6044045037501722,16.018138643838075
logistic,0.0001,3,20,0.6044761249069549,18.04438354725827
logistic,0.0001,2,20,0.6075214348409612,17.739372458034396
