activation,alpha,layers,neurons,val_mse_scaled,val_mse_unscaled
relu,0.0001,14,20,0.30856266558551093,4.9510449301192
relu,0.0001,20,40,0.3086715063209014,5.2440391911779685
tanh,0.0001,26,20,0.30906539421812523,4.720597818798671
logistic,0.0001,3,20,0.309394111622413,4.216513470479997
relu,0.0001,15,40,0.3096780670641675,5.4579019611658595
relu,0.0001,24,40,0.31043473465435095,4.7676236801515826
tanh,0.0001,23,40,0.3104703004393898,4.645546548487862
relu,0.0001,21,20,0.310578452870117,4.7525990892057
tanh,0.0001,19,40,0.3111657252143528,4.420424768881047
tanh,0.0001,24,20,0.3112618382274989,4.438956528870539
relu,0.0001,22,40,0.31176981537064197,4.661207815745887
relu,0.0001,16,40,0.3118688237041178,4.80781803087619
relu,0.0001,30,40,0.31195622812900353,5.372354783971
relu,0.0001,29,40,0.31222205021767563,4.797816149788752
relu,0.0001,24,20,0.3122332972786145,5.300977630067826
tanh,0.0001,27,20,0.31304959777791536,4.4986815306804715
tanh,0.0001,18,40,0.3132950545711507,4.891415436476277
logistic,0.0001,5,20,0.31402222247548695,4.157564655706838
relu,0.0001,27,20,0.3154015737433197,5.272567229761208
tanh,0.0001,29,40,0.3161130586061095,4.891640303154352
relu,0.0001,13,20,0.3162925484205208,5.014674361148844
tanh,0.0001,21,20,0.3183505920272928,4.816986657492043
logistic,0.0001,2,40,0.31871178064358185,4.152980107991009
tanh,0.0001,24,40,0.3201089317382321,5.442801073862435
tanh,0.0001,26,40,0.32146987029438856,5.593706529307714
tanh,0.0001,25,40,0.3224687578244362,4.866632429056127
tanh,0.0001,30,20,0.3240796189110499,5.158160094975564
logistic,0.0001,6,20,0.3254927223195647,4.600379228008456
relu,0.0001,11,20,0.32902141221692566,5.9184206682082054
relu,0.0001,14,40,0.33656153278832374,6.026746368406506
logistic,0.0001,1,40,0.35622759882601,6.206427232430768
logistic,0.0001,1,20,0.3583566117646151,6.112961004217309
tanh,0.0001,28,20,0.7178052001307463,45.09036137535414
tanh,0.0001,30,40,0.7264746260441545,40.6622909062868
tanh,0.0001,27,40,0.7349014974056927,45.83178860735359
tanh,0.0001,28,40,0.742072195621309,37.60159704143382
tanh,0.0001,29,20,0.7498157713476479,51.15282213872932
logistic,0.0001,28,40,1.0606168537854266,100.53098429385021
logistic,0.0001,9,20,1.0615933080770823,100.69489191209638
logistic,0.0001,16,20,1.0619197808157832,100.55864870999646
logistic,0.0001,26,20,1.0619538479690986,100.7561114359436
logistic,0.0001,13,40,1.062229330504826,100.55076902667942
logistic,0.0001,30,20,1.062270742727325,100.7886639317188
logistic,0.0001,11,20,1.0623641494183815,100.88167514948282
logistic,0.0001,7,20,1.062472669875069,100.65593694124884
logistic,0.0001,17,40,1.0625121981208816,100.74738858591688
logistic,0.0001,12,40,1.06269523113715,100.72656180109513
logistic,0.0001,22,20,1.0627154001795571,100.63632355696657
logistic,0.0001,15,20,1.0627276858284345,100.62913932710853
relu,0.0001,28,20,1.062761500865905,100.76610909434022
relu,0.0001,28,40,1.0628012363261603,100.58876627928382
logistic,0.0001,10,40,1.0628102210508685,100.6710337179591
logistic,0.0001,10,20,1.0631571359367322,100.67330067396092
logistic,0.0001,24,40,1.0631677479485648,100.80909037045342
logistic,0.0001,22,40,1.0631816131492702,100.56106948176239
logistic,0.0001,28,20,1.063220397198073,100.86663146316401
logistic,0.0001,19,20,1.0633572209721185,100.97319707713837
relu,0.0001,30,20,1.0634735195986285,100.73752927647813
logistic,0.0001,29,20,1.0634822151700742,100.84817794279556
logistic,0.0001,17,20,1.0636427486213853,100.66749903998948
logistic,0.0001,23,20,1.0638217199141247,100.79605925698995
logistic,0.0001,18,20,1.0639384520408075,100.91853339021709
logistic,0.0001,12,20,1.0639703717858728,100.88291724106463
logistic,0.0001,18,40,1.0639740101686352,100.95938268437037
logistic,0.0001,24,20,1.0639862927041286,100.86767596615002
logistic,0.0001,21,20,1.0640788517432747,101.06763126482545
logistic,0.0001,9,40,1.0640938120250232,101.19032237535681
logistic,0.0001,13,20,1.0643215399194477,100.95834201051295
logistic,0.0001,20,20,1.0643290451194776,100.85647748533577
logistic,0.0001,25,40,1.0643734672362126,100.58668246291487
logistic,0.0001,14,20,1.0647038987767146,100.838392057132
logistic,0.0001,25,20,1.0647795738226893,101.03407722648812
logistic,0.0001,27,40,1.0648948323418956,100.53466823967848
logistic,0.0001,26,40,1.0648954295837227,101.0161116600308
logistic,0.0001,29,40,1.0654381755155655,100.60484722876568
logistic,0.0001,8,20,1.0660241570265874,100.97994149740619
logistic,0.0001,8,40,1.0661146039567269,101.38372957639967
logistic,0.0001,15,40,1.0664981964323255,101.68844196280341
logistic,0.0001,20,40,1.0665493743933163,101.26589274386457
logistic,0.0001,16,40,1.066741723985665,100.83970056734003
logistic,0.0001,11,40,1.0678227255431154,101.03439249760478
logistic,0.0001,14,40,1.0679986266579706,100.57602353394216
