activation,alpha,layers,neurons,val_mse_scaled,val_mse_unscaled
tanh,0.0001,21,80,0.3137879810872053,5.754584688002741
logistic,0.0001,2,80,0.3138242382191986,4.260228401747308
logistic,0.0001,5,20,0.31402222247548695,4.157564655706838
logistic,0.0001,4,60,0.3141480675487291,4.130783614419374
tanh,0.0001,1,60,0.3142562472782414,4.663131970958916
relu,0.0001,15,60,0.31429485828815,5.438289232673804
logistic,0.0001,2,60,0.3145986553360379,4.077498859224585
tanh,0.0001,20,60,0.31464307702012123,5.222945407599823
tanh,0.0001,32,40,0.3148898165131936,5.874544110604725
tanh,0.0001,17,60,0.31498900821502696,4.963681691837692
relu,0.0001,23,60,0.3152175743391202,4.814268977024901
logistic,0.0001,3,80,0.3152815140029657,4.179678223564666
relu,0.0001,27,20,0.3154015737433197,5.272567229761208
relu,0.0001,29,80,0.3157232440064881,4.879587329175599
tanh,0.0001,29,40,0.3161130586061095,4.891640303154352
relu,0.0001,16,80,0.31611661981170963,5.320208275318431
relu,0.0001,13,20,0.3162925484205208,5.014674361148844
relu,0.0001,13,60,0.3164481153832435,5.503082089408762
relu,0.0001,23,80,0.3167684049325535,4.907635964124582
tanh,0.0001,23,60,0.316882765239238,5.03749562550559
tanh,0.0001,14,80,0.3172044460381626,6.316565832971024
relu,0.0001,31,60,0.3175208298900814,5.877266146521407
relu,0.0001,20,10,0.31826425580425205,5.008319105512639
tanh,0.0001,21,20,0.3183505920272928,4.816986657492043
logistic,0.0001,2,40,0.31871178064358185,4.152980107991009
relu,0.0001,13,10,0.3193480624705374,5.0431383768229
tanh,0.0001,15,80,0.31944765314897045,7.299928117785896
relu,0.0001,22,10,0.3195437393680267,5.015848282353901
tanh,0.0001,27,60,0.3197082376186043,5.850376456773221
tanh,0.0001,24,40,0.3201089317382321,5.442801073862435
tanh,0.0001,30,60,0.3202005362948142,5.5102972369863314
tanh,0.0001,26,40,0.32146987029438856,5.593706529307714
tanh,0.0001,22,10,0.3215331937224642,4.812400130203078
tanh,0.0001,25,60,0.322152333855165,7.116255034666258
tanh,0.0001,28,10,0.32236851358276314,4.947769388234254
tanh,0.0001,25,40,0.3224687578244362,4.866632429056127
relu,0.0001,17,10,0.3229571756606848,5.328604078680281
